Specialist,Description
Cardiologist,"Cardiology (from Ancient Greek  καρδίᾱ (kardiā) 'heart' and  -λογία (-logia) 'study') is the study of the heart. Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system. The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology. Physicians who specialize in this field of medicine are called cardiologists, a sub-specialty of internal medicine. Pediatric cardiologists are pediatricians who specialize in cardiology. Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.[1]"
Common Cold,
Internal Medcine,Other reasons this message may be displayed:
Dermatologist,"Dermatology is the branch of medicine dealing with the skin.[1][2] It is a speciality with both medical and surgical aspects.[3][4][5] A dermatologist is a specialist medical doctor who manages diseases related to skin, hair, nails, and some cosmetic problems.[2][6]"
Osteopathic,
Pediatrician,
Neurologist,
Gynecologist,
Otolaryngologist,
Osteoarthristis,Other reasons this message may be displayed:
Rheumatologists,"Rheumatology (from Greek  ῥεῦμα (rheûma) 'flowing current') is a branch of medicine devoted to the diagnosis and management of disorders whose common feature is inflammation in the bones, muscles, joints, and internal organs.[1] Rheumatology covers more than 100 different complex diseases, collectively known as rheumatic diseases, which includes many forms of arthritis as well as lupus and Sjögren's syndrome.[1] Doctors who have undergone formal training in rheumatology are called rheumatologists."
Cardiologist ,"Cardiology (from Ancient Greek  καρδίᾱ (kardiā) 'heart' and  -λογία (-logia) 'study') is the study of the heart. Cardiology is a branch of medicine that deals with disorders of the heart and the cardiovascular system. The field includes medical diagnosis and treatment of congenital heart defects, coronary artery disease, heart failure, valvular heart disease, and electrophysiology. Physicians who specialize in this field of medicine are called cardiologists, a sub-specialty of internal medicine. Pediatric cardiologists are pediatricians who specialize in cardiology. Physicians who specialize in cardiac surgery are called cardiothoracic surgeons or cardiac surgeons, a specialty of general surgery.[1]"
Phlebologist,"Phlebology is a medical speciality that is concerned with venous issues including the diagnosis and treatment of disorders of the veins.[1] A medical specialist in this field is known as a phlebologist. The specialty of phlebology has developed to enable physicians sharing an interest in venous disease and health to share knowledge and experience despite being trained in a variety of backgrounds such as dermatology, vascular surgery, haematology, interventional radiology or general medicine. Diagnostic techniques used include the patient's history and physical examination, venous imaging techniques in particular vascular ultrasound and laboratory evaluation related to venous thromboembolism. The American Medical Association and the American Osteopathic Association have added phlebology to their list of self-designated practice specialties."
Hepatologist,OR
Gastroenterologist,"Gastroenterology (from the Greek gastḗr- ""belly"", -énteron ""intestine"", and -logía ""study of"") is the branch of medicine focused on the digestive system and its disorders.[1] The digestive system consists of the gastrointestinal tract, sometimes referred to as the GI tract, which includes the esophagus, stomach, small intestine and large intestine as well as the accessory organs of digestion which include the pancreas, gallbladder, and liver.[2][3]"
Endocrinologist,"Endocrinology (from endocrine + -ology) is a branch of biology and medicine dealing with the endocrine system, its diseases, and its specific secretions known as hormones. It is also concerned with the integration of developmental events proliferation, growth, and differentiation, and the psychological or behavioral activities of metabolism, growth and development, tissue function, sleep, digestion, respiration, excretion, mood, stress, lactation, movement, reproduction, and sensory perception caused by hormones. Specializations include behavioral endocrinology and comparative endocrinology.[1]"
Allergist,"An allergist is a physician specially trained to manage and treat allergies, asthma and the other allergic diseases. They may also be called
immunologists.[1]"
Pulmonologist,"Pulmonology (/ˌpʌlməˈnɒlədʒi/, /ˌpʊlməˈnɒlədʒi/, from Latin pulmō, -ōnis ""lung"" and the Greek suffix -λογία -logía ""study of""), pneumology (/nʊˈmɒlədʒi, njʊ-/, built on Greek πνεύμων pneúmōn ""lung"") or pneumonology[1] (/nʊmənˈɒlədʒi, njʊ-/) is a medical specialty that deals with diseases involving the respiratory tract.[2] It is also known as respirology, respiratory medicine, or chest medicine in some countries and areas."
